법인명,법인코드
농협중앙,00001101
서울청과㈜,11000101
농협가락(공),11000102
㈜중앙청과,11000103
동화청과㈜,11000104
한국청과㈜,11000105
대아청과㈜,11000106
강동수산,11000107
서울수협(공),11000108
서울건해산물,11000109
농협강서(공),11000801
서부청과㈜,11000802
강서청과㈜,11000803
농협부산(공),21000101
부산청과㈜,21000102
항도청과㈜,21000103
부산감천항수산(주),21000501
PW수산(주),21000502
부산수산물공판장(주),21000503
(주)삼성아이에프엠,21000504
부산수협감천공판장,21000505
동부청과㈜,21000901
부산중앙청과㈜,21000902
농협반여(공),21000903
대구중앙청과㈜,22000101
효성청과㈜,22000103
대양청과㈜,22000104
농협북대구(공),22000105
대구경북원협(공),22000106
㈜대인농산,23000101
인천농산물㈜,23000102
인천원협남촌(공),23000103
덕풍청과㈜,23000104
㈜부평농산,23000301
㈜경인농산,23000302
인천원협삼산(공),23000303
광주원협(공),24000101
광주청과㈜,24000102
광주중앙청과㈜,24000103
농협광주(공),24000401
두레청과㈜,24000402
㈜호남청과,24000403
광주수협(공),24000404
농협대전(공),25000101
대전청과㈜,25000102
한밭수산(수산),25000104
한밭수산(건어),25000105
대전중앙청과㈜,25000301
대전원협노은(공),25000302
대전노은진영수산,25000303
경기청과㈜,31010101
수원청과물㈜,31010102
수원원협(공),31010103
수원수산,31010104
남부수협(공),31010105
안양원협(공),31040101
평촌수산,31040103
안양농산물㈜,31040105
농협안산(공),31090101
안산수협(공),31090103
안산수산,31090104
안산농산물㈜,31090105
농협구리(공),31120101
구리청과㈜,31120103
구리수협(공),31120104
강북수산,31120105
㈜인터넷청과,31120106
춘천중앙청과㈜,32010101
춘천원협(공),32010102
합동청과㈜,32020101
원주원협(공),32020102
㈜강릉농산물,32030101
충북원협청주(공),33010101
청주청과시장㈜,33010102
청주수산,33010103
충북원협충주(공),33020101
충주중원청과㈜,33020102
충주중원수산,33020103
(주)목행수산,33020104
천안청과㈜,34010101
천안농협(공),34010102
해랑수산,34010103
전주원협(공),35010101
전주청과물㈜,35010102
전주수협(공),35010103
전주수산,35010104
익산원협(공),35030101
(합자)이리청과회사,35030102
이리수산,35030103
정읍원협(공),35040201
정일청과㈜,35040202
순천남도청과㈜,36030101
순천원협(공),36030102
남일청과㈜,36030103
포항청과㈜,37010101
대구경북능금농협포항(공),37010102
포항농협(공),37010103
안동청과(합자),37040101
안동농협(공),37040102
구미농협(공),37150101
구미중앙청과㈜,37150102
㈜창원청과시장,38010101
농협창원(공),38010102
울산원협(공),38020101
울산중앙청과시장㈜,38020102
울산수협(공),38020103
울산중앙수산,38020104
울산건해,38020105
마산청과시장㈜,38030301
창원원협(공),38030302
진주원협(공),38040101
진주중앙청과㈜,38040102