plor_cd,시군구
100000,서울특별시 서울 중구
110000,서울특별시 종로구
120000,서울특별시 서대문구
121000,서울특별시 마포구
134000,서울특별시 강동구
135000,서울특별시 강남구
136000,서울특별시 성북구
137000,서울특별시 서초구
138000,서울특별시 송파구
139000,서울특별시 노원구
140000,서울특별시 용산구
142000,서울특별시 강북구
143000,서울특별시 광진구
150000,서울특별시 영등포구
151000,서울특별시 관악구
152000,서울특별시 구로구
153000,서울특별시 금천구
156000,서울특별시 동작구
157000,서울특별시 서울 강서구
158000,서울특별시 양천구
122000,서울특별시 은평구
130000,서울특별시 동대문구
131000,서울특별시 중랑구
132000,서울특별시 도봉구
133000,서울특별시 성동구
240000,강원도 동해시
245000,강원도 삼척시
250000,강원도 홍천군
252000,강원도 인제군
269000,강원도 철원군
300000,대전광역시 대전 동구
301000,대전광역시 대전 중구
302000,대전광역시 대전 서구
305000,대전광역시 유성구
306000,대전광역시 대덕구
312000,충청남도 금산군
314000,충청남도 공주시
320000,충청남도 논산시
321000,충청남도 계룡시
323000,충청남도 부여군
325000,충청남도 서천군
330000,충청남도 천안시
330251,충청남도 천안시 동남구
330252,충청남도 천안시 서북구
336000,충청남도 아산시
340000,충청남도 예산군
343000,충청남도 당진시
345000,충청남도 청양군
350000,충청남도 홍성군
355000,충청남도 보령시
356000,충청남도 서산시
357000,충청남도 태안군
339000,세종시 세종시
360000,충청북도 청주시
363000,충청북도 청원군
365000,충청북도 진천군
367000,충청북도 괴산군
367702,충청북도 청주시 서원구
367703,충청북도 청주시 상당구
367704,충청북도 청주시 흥덕구
368000,충청북도 증평군
369000,충청북도 음성군
370000,충청북도 영동군
373000,충청북도 옥천군
376000,충청북도 보은군
380000,충청북도 충주시
390000,충청북도 제천시
395000,충청북도 단양군
400000,인천광역시 인천 중구
401000,인천광역시 인천 동구
402000,인천광역시 인천 남구
403000,인천광역시 부평구
404000,인천광역시 인천 서구
405000,인천광역시 남동구
406000,인천광역시 연수구
407000,인천광역시 계양구
409000,인천광역시 옹진군
417000,인천광역시 강화군
410000,경기도 고양시
413000,경기도 파주시
415000,경기도 김포시
420000,경기도 부천시
423000,경기도 광명시
425000,경기도 안산시
427000,경기도 과천시
429000,경기도 시흥시
430000,경기도 안양시
435000,경기도 군포시
436959,경기도 성남시 
437000,경기도 의왕시
440000,경기도 수원시
445000,경기도 화성시
446000,경기도 용인시
447000,경기도 오산시
449000,경기도 용인시
450000,경기도 평택시
456000,경기도 안성시
461000,경기도 성남시
464000,경기도 광주시
465000,경기도 하남시
467000,경기도 이천시
469000,경기도 여주군
471000,경기도 구리시
472000,경기도 남양주시
476000,경기도 양평군
477000,경기도 가평군
480000,경기도 의정부시
482000,경기도 양주시
483000,경기도 동두천시
486000,경기도 연천군
487000,경기도 포천시
500000,광주광역시 광주 북구
501000,광주광역시 광주 동구
502000,광주광역시 광주 서구
503000,광주광역시 광주 남구
506000,광주광역시 광산구
513000,전라남도 영광군
515000,전라남도 장성군
516000,전라남도 곡성군
517000,전라남도 담양군
519000,전라남도 화순군
520000,전라남도 나주시
525000,전라남도 함평군
526000,전라남도 영암군
527000,전라남도 강진군
529000,전라남도 장흥군
530000,전라남도 목포시
534000,전라남도 무안군
535000,전라남도 신안군
536000,전라남도 해남군
537000,전라남도 완도군
539000,전라남도 진도군
540000,전라남도 순천시
542000,전라남도 구례군
545000,전라남도 광양시
546000,전라남도 보성군
548000,전라남도 고흥군
550000,전라남도 여수시
560000,전라북도 전주시
565000,전라북도 완주군
566000,전라북도 임실군
567000,전라북도 진안군
568000,전라북도 무주군
570000,전라북도 익산시
573000,전라북도 군산시
576000,전라북도 김제시
579000,전라북도 부안군
580000,전라북도 정읍시
585000,전라북도 고창군
590000,전라북도 남원시
595000,전라북도 순창군
597000,전라북도 장수군
600000,부산광역시 부산 중구
601000,부산광역시 부산 동구
602000,부산광역시 부산 서구
604000,부산광역시 사하구
606000,부산광역시 영도구
607000,부산광역시 동래구
608000,부산광역시 부산 남구
609000,부산광역시 금정구
611000,부산광역시 연제구
612000,부산광역시 해운대구
613000,부산광역시 수영구
614000,부산광역시 부산진구
616000,부산광역시 부산 북구
617000,부산광역시 사상구
618000,부산광역시 부산 강서구
619000,부산광역시 기장군
621000,경상남도 김해시
626000,경상남도 양산시
627000,경상남도 밀양시
630000,경상남도 창원시 
635000,경상남도 창녕군
636000,경상남도 의령군
637000,경상남도 함안군
638000,경상남도 고성군
645000,경상남도 진해시
650000,경상남도 통영시
656000,경상남도 거제시
660000,경상남도 진주시
664000,경상남도 사천시
666000,경상남도 산청군
667000,경상남도 하동군
668000,경상남도 남해군
670000,경상남도 거창군
676000,경상남도 함양군
678000,경상남도 합천군
680000,울산광역시 울산 남구
681000,울산광역시 울산 중구
682000,울산광역시 울산 동구
683000,울산광역시 울산 북구
689000,울산광역시 울주군
690000,제주도 제주시
699000,제주도 서귀포시
700000,대구광역시 대구 중구
701000,대구광역시 대구 동구
702000,대구광역시 대구 북구
703000,대구광역시 대구 서구
704000,대구광역시 달서구
705000,대구광역시 대구 남구
706000,대구광역시 수성구
711000,대구광역시 달성군
712000,경상북도 경산시
714000,경상북도 청도군
716000,경상북도 군위군
717000,경상북도 고령군
718000,경상북도 칠곡군
719000,경상북도 성주군
730000,경상북도 구미시
740000,경상북도 김천시
742000,경상북도 상주시
745000,경상북도 문경시
750000,경상북도 영주시
755000,경상북도 봉화군
757000,경상북도 예천군
760000,경상북도 안동시
763000,경상북도 청송군
764000,경상북도 영양군
766000,경상북도 영덕군
767000,경상북도 울진군
769000,경상북도 의성군
770000,경상북도 영천시
780000,경상북도 경주시
790000,경상북도 포항시
791949,경상북도 포항시 북구
791950,경상북도 포항시 남구
799000,경상북도 울릉군
