pkg_cd,pkg_nm
"100","."
"101","상자"
"102","P-BOX"
"103","PE대"
"104","PP대"
"105","그물망"
"106","트럭"
"107","파렛트"
"108","비닐봉지"
"109","봉지"
"110","접시용기 트래이"
"111","단"
"112","개"
"113","접"
"114","채"
"115","속"
"116","분"
"117","축"
"118","쾌"
"119","포"
"1ZZ","기타"
"700","."
"701","상자(c/s)"
"702","PAN(펜)"
"703","D/M"
"704","PP대"
"705","그물망"
"706","C/T(B/T)"
"707","S/P"
"708","장"
"709","봉지"
"710","두름"
"711","각"
"712","미(마리)"
"713","깡"
"714","코"
"715","속"
"716","포"
"717","축"
"718","쾌"
"7ZZ","기타"